Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0.702,-63.7114,-2.9,-22.221,0.047733,
0.704,-63.7175,-3.1,-33.014,-0.001066,
0.706,-63.7853,-3,-19.816,-0.041777,
0.708,-63.9525,-3,-30.133,-0.100355,
0.71,-64.1759,-4,-5.95,-0.117777,
0.712,-64.4664,-2.8,-14.101,-0.149777,
0.714,-64.8467,-3.8,-22.805,-0.194311,
0.716,-65.2806,-4.4,-13.178,-0.223555,
0.718,-65.7622,-4.9,-14.66,-0.249066,
0.72,-66.2914,-5.5,-4.084,-0.268088,
0.722,-66.8559,-5.6,-7.931,-0.285866,
0.724,-67.4382,-6.2,-8.775,-0.2968,
0.726,-68.0339,-7.3,-2.056,-0.2984,
0.728,-68.6223,-8.3,6.559,-0.288622,
0.73,-69.2217,-8.4,-2.716,-0.296266,
0.732,-69.7923,-9.6,8.247,-0.280977,
0.734,-70.3258,-10.9,8.806,-0.272355,
0.736,-70.811,-33.3,23.024,-0.235466,
0.738,-71.1302,-52,51.508,-0.131822,
0.74,-71.2718,-52.1,41.273,-0.044444,
0.742,-71.2053,-52.1,44.342,0.051022,
0.744,-71.0063,-45.8,20.113,0.0928,
0.746,-70.8177,-33,-3.889,0.087911,
0.748,-70.6535,-25.5,-2.882,0.086844,
0.75,-70.584,-20.7,-33.3,0.030844,
0.752,-70.5595,-19.7,-12.169,0.007644,
0.754,-70.5394,-18.6,2.407,0.000533,
0.756,-70.5406,-18.8,2.517,-0.002666,
0.758,-70.5095,-18.8,8.405,0.020622,
0.76,-70.4649,-16.1,-6.172,0.027199,
0.762,-70.3954,-13.1,10.239,0.039555,
0.764,-70.2696,-9.9,19.056,0.067822,
0.766,-70.1152,-8.3,6.276,0.081422,
0.768,-69.915,-7.8,11.231,0.104711,
0.77,-69.6709,-7.3,5.08,0.125333,
0.772,-69.3889,-6.5,7.932,0.1432,
0.774,-69.0624,-6,14.33,0.169777,
0.776,-68.6943,-5.1,10.966,0.187733,
0.778,-68.3,-4.2,7.374,0.198577,
0.78,-67.8685,-4.6,13.88,0.216977,
0.782,-67.4004,-3.8,5.169,0.234844,
0.784,-66.9322,-4.1,-6.252,0.241422,
0.786,-66.4415,-3.1,-0.481,0.246844,
0.788,-65.9697,-2.7,-5.978,0.226222,
0.79,-65.493,-3.7,13.679,0.235466,
0.792,-65.0383,-2.8,-4.434,0.224088,
0.794,-64.6458,-3.5,-27.289,0.199111,
0.796,-64.2864,-3,-14.121,0.173066,
0.798,-63.9891,-2.7,-17.697,0.140533,
0.8,-63.7645,-2.9,-7.644,0.109066,
0.802,-63.6058,-3,-15.489,0.072177,
0.804,-63.5094,-2.8,-16.818,0.0336,
0.806,-63.477,-3,-9.529,0.009777,
0.808,-63.4868,-2.8,-10.821,-0.008177,
0.81,-63.5356,-2.8,-3.564,-0.025511,
0.812,-63.6131,-2.7,-1.667,-0.040088,
0.814,-63.7114,-2.6,-5.516,-0.051555,
0.816,-63.8359,-2.6,-8.25,-0.065066,
0.818,-63.961,-2.6,-1.911,-0.062399,
0.82,-64.0886,-2.6,-1.802,-0.062933,
0.822,-64.2101,-2.6,4.705,-0.055911,
0.824,-64.3156,-2.7,2.316,-0.051999,
0.826,-64.4066,-2.6,1.629,-0.040711,
0.828,-64.4768,-2.6,4.289,-0.033688,
0.83,-64.5256,-2.6,4.289,-0.022755,
0.832,-64.5482,-2.6,6.42,-0.010311,
0.834,-64.55,-2.7,4.264,0.001066,
0.836,-64.5396,-2.8,2.78,0.007111,
0.838,-64.5195,-2.7,1.095,0.009244,
0.84,-64.4963,-2.8,-1.143,0.010311,
0.842,-64.4682,-2.8,-0.825,0.013066,
0.844,-64.4426,-2.7,2.665,0.014133,
0.846,-64.4157,-2.8,1.601,0.016355,
0.848,-64.398,-2.8,-0.751,0.011466,
0.85,-64.3767,-2.8,1.406,0.009777,
0.852,-64.3596,-2.7,-0.45,0.007022,
0.854,-64.3462,-2.8,-1.143,0.007022,
0.856,-64.3419,-2.8,-2.181,-0.001066,
0.858,-64.3407,-2.7,-0.929,0,
0.86,-64.3407,-2.6,0.164,0,
0.862,-64.3419,-2.6,0.25,-0.0016,
0.864,-64.3443,-2.6,-2.078,-0.002666,
0.866,-64.3413,-2.6,-3.738,-0.001066,
0.868,-64.3419,-2.7,0.189,0,
0.87,-64.3401,-2.6,-0.261,0.0016,
0.872,-64.3431,-2.7,-2.319,-0.0016,
0.874,-64.3419,-2.7,-1.678,-0.000533,
0.876,-64.3419,-2.6,-2.371,-0.0016,
0.878,-64.3407,-2.7,-1.064,0,
0.88,-64.3413,-2.7,0.436,0.000533,
0.882,-64.3407,-2.7,1.423,-0.000533,
0.884,-64.3413,-2.7,0.052,0.0016,
0.886,-64.3437,-2.7,0.828,-0.002133,
0.888,-64.3413,-2.7,-2.5,-0.002222,
0.89,-64.3407,-2.7,-4.221,-0.000533,
0.892,-64.3419,-2.7,-0.435,0.000533,
0.894,-64.3407,-2.6,-1.324,-0.000533,
0.896,-64.3401,-2.7,0.558,0.001066,
0.898,-64.3431,-2.6,-3.756,-0.002666,
0.9,-64.3431,-2.6,-3.499,-0.002666,
0.902,-64.3437,-2.6,-3.088,-0.002666,
0.904,-64.3419,-2.6,3.91,0.001066,
